"ID";"Marges";"RegioS";"Perioden";"VoeltZichWelEensOnveilig_1";"VoeltZichVaakOnveilig_2";"VanZakkenrollerij_3";"VanBerovingOpStraat_4";"VanInbraakInWoning_5";"VanMishandeling_6";"VoeltZichWelEensOnveiligInBuurt_7";"VoeltZichVaakOnveiligInBuurt_8";"SAvondsOpStraatInBuurtOnveilig_9";"SAvondsAlleenThuisOnveilig_10";"DoetSAvondsNietOpen_11";"RijdtOfLooptOm_12";"BangSlachtofferCriminaliteitTeWorden_13";"DenktDatErVeelCriminaliteitInBuurt_14";"VindtCriminaliteitInBuurtToegenomen_15";"VindtCriminaliteitInBuurtAfgenomen_16";"VindtCriminaliteitInBuurtGelijk_17";"RapportcijferVeiligheidInBuurt_18";"RondomUitgaansgelegenheden_19";"OpPlekkenWaarJongerenRondhangen_20";"InCentrumVanWoonplaats_21";"InWinkelgebiedWinkelcentrum_22";"InOpenbaarVervoer_23";"BijTreinstationInWoonplaats_24";"InEigenHuis_25";"DoorOnbekendenOpStraat_26";"DoorOnbekendenInOpenbaarVervoer_27";"DoorPersoneelVanWinkelsEnBedrijven_28";"DoorPersoneelVanOverheidsinstanties_29";"DoorBekendenPartnerFamilieVriend_30"
"94";"1 ";"PV30   ";"2016JJ00";"    34.9";"     1.4";"     3.0";"     1.9";"     9.2";"     2.0";"    16.5";"     1.3";"     3.0";"     1.9";"     9.6";"     1.8";"     2.5";"     8.1";"    11.0";"     4.3";"    53.4";"     7.3";"    22.7";"    39.4";"    14.7";"    10.5";"    15.4";"    14.6";"     8.1";"    18.4";"    10.9";"    12.5";"    10.0";"     6.3"
"95";"1 ";"PV30   ";"2017JJ00";"    34.3";"     1.5";"     2.8";"     1.8";"     8.6";"     2.1";"    16.4";"     1.4";"     3.1";"     2.1";"     9.6";"     2.2";"     2.6";"     8.8";"    11.3";"     4.2";"    51.9";"     7.3";"    22.0";"    38.7";"    14.0";"    10.1";"    13.4";"    13.6";"     8.2";"    18.0";"     9.6";"    11.5";"     8.8";"     6.4"
"96";"1 ";"PV31   ";"2012JJ00";"    39.5";"     2.2";"     3.4";"     2.6";"    12.4";"     2.7";"    21.3";"     2.1";"     4.4";"     3.2";"    11.5";"     2.7";"     4.0";"    11.1";"    16.5";"     3.2";"    48.4";"     7.0";"    25.3";"    43.4";"    18.5";"    13.9";"    16.0";"    20.8";"    10.9";"    19.3";"    12.5";"    17.3";"    14.8";"     7.0"
"97";"1 ";"PV31   ";"2013JJ00";"    39.4";"     2.1";"     4.7";"     3.0";"    12.0";"     2.6";"    20.5";"     1.9";"     4.3";"     3.2";"    11.3";"     2.6";"     4.1";"    12.1";"    16.1";"     3.3";"    49.2";"     7.0";"    24.2";"    42.0";"    16.8";"    13.2";"    15.3";"    20.0";"    10.8";"    19.6";"    12.8";"    16.7";"    14.2";"     6.9"
"98";"1 ";"PV31   ";"2014JJ00";"    38.7";"     2.2";"     3.6";"     2.4";"    11.0";"     2.2";"    21.8";"     2.5";"     4.9";"     3.1";"    12.8";"     2.4";"     3.9";"    11.2";"    14.2";"     3.5";"    50.6";"     7.0";"    22.6";"    41.2";"    16.4";"    13.1";"    14.5";"    18.7";"    10.5";"    18.9";"    11.8";"    15.9";"    13.5";"     6.9"
"99";"1 ";"PV31   ";"2015JJ00";"    39.0";"     2.3";"     4.7";"     3.4";"    13.2";"     3.2";"    21.5";"     2.1";"     4.9";"     3.3";"    11.9";"     3.2";"     4.5";"    11.5";"    13.8";"     3.0";"    53.9";"     7.1";"    24.0";"    39.4";"    17.1";"    14.5";"    16.6";"    20.0";"    11.4";"    18.2";"    12.6";"    14.8";"    12.0";"     7.2"
"100";"1 ";"PV31   ";"2016JJ00";"    36.6";"     2.1";"     3.0";"     2.0";"    10.6";"     2.3";"    18.9";"     1.7";"     4.0";"     3.0";"    11.2";"     2.5";"     3.9";"    10.5";"    12.2";"     3.7";"    51.0";"     7.2";"    21.6";"    37.5";"    14.9";"    12.2";"    15.0";"    18.2";"    10.3";"    17.8";"    11.2";"    12.8";"    11.5";"     7.5"
"101";"1 ";"PV31   ";"2017JJ00";"    36.3";"     1.8";"     3.1";"     1.9";"    10.5";"     2.1";"    19.5";"     2.3";"     4.2";"     2.8";"    11.4";"     2.5";"     3.2";"    10.3";"    12.7";"     3.5";"    49.1";"     7.1";"    21.2";"    37.8";"    16.1";"    12.5";"    14.2";"    18.3";"     9.3";"    17.5";"    11.5";"    11.9";"    10.2";"     6.3"
"1788";"2 ";"PV20   ";"2012JJ00";"     1.9";"     0.5";"     0.5";"     0.5";"     1.0";"     0.7";"     1.5";"     0.5";"     0.7";"     0.6";"     0.9";"     0.5";"     0.6";"     1.1";"     1.2";"     0.9";"     2.0";"     0.1";"     1.8";"     2.0";"     1.5";"     1.3";"     1.4";"     1.5";"     1.0";"     1.7";"     1.4";"     1.5";"     1.4";"     1.1"
"1789";"2 ";"PV20   ";"2013JJ00";"     2.0";"     0.6";"     0.8";"     0.6";"     1.0";"     0.8";"     1.6";"     0.5";"     0.8";"     0.6";"     0.9";"     0.6";"     0.8";"     1.3";"     1.3";"     0.9";"     2.0";"     0.1";"     1.9";"     2.0";"     1.5";"     1.2";"     1.3";"     1.6";"     1.0";"     1.7";"     1.4";"     1.5";"     1.4";"     1.0"
