"ID";"RegioS";"Perioden";"AantalPersonen_1";"GemiddeldBesteedbaarInkomen_2";"RangnummerBesteedbaarInkomen_3";"GemiddeldGestandaardiseerdInkomen_4";"RangnummerGestandaardiseerdInkomen_5";"AantalPersonen_6";"InVanPersonenMetEnZonderInkomen_7";"GemiddeldPersoonlijkInkomen_8";"RangnummerPersoonlijkInkomen_9";"GemiddeldBesteedbaarInkomen_10";"RangnummerBesteedbaarInkomen_11"
"188";"PV31  ";"2006JJ00";"  1127.8";"    12.9";"       7";"    20.8";"       8";"   808.5";"      72";"    24.5";"       9";"    17.4";"       9"
"189";"PV31  ";"2007JJ00";"  1123.7";"    13.7";"       7";"    22.1";"       8";"   811.4";"      72";"    25.4";"      10";"    18.4";"      10"
"190";"PV31  ";"2008JJ00";"  1122.6";"    14.1";"       7";"    22.7";"       9";"   826.8";"      74";"    26.3";"      10";"    18.7";"      11"
"191";"PV31  ";"2009XX00";"  1122.7";"    14.3";"       7";"    22.9";"       8";"   828.7";"      74";"    26.9";"      10";"    18.9";"       9"
"192";"PV31  ";"2009JJ00";"  1122.7";"    14.3";"       7";"    22.9";"       8";"   828.1";"      74";"    26.9";"       9";"    18.9";"       9"
"193";"PV31  ";"2010JJ00";"  1122.6";"    14.4";"       7";"    23.0";"       8";"   830.0";"      74";"    27.2";"       9";"    18.9";"       9"
"194";"PV31  ";"2011JJ00";"  1123.1";"    14.5";"       6";"    23.1";"       8";"   835.2";"      74";"    27.7";"       9";"    19.0";"       9"
"195";"PV31  ";"2012JJ00";"  1121.9";"    14.7";"       7";"    23.3";"       7";"   832.5";"      74";"    28.0";"       9";"    19.3";"       8"
"196";"PV31  ";"2013JJ00";"  1120.0";"       .";"       .";"    23.5";"       8";"   832.5";"      74";"    28.4";"       9";"       .";"       ."
"197";"PV31  ";"2014JJ00";"  1117.9";"       .";"       .";"    24.4";"       8";"   830.8";"      74";"    28.9";"       9";"       .";"       ."
