"ID";"GebruikVanGeweld";"SoortDiefstal";"RegioS";"Perioden";"TotaalGeregistreerdeDiefstallen_1";"GeregistreerdeDiefstallenRelatief_2";"GeregistreerdeDiefstallenPer1000Inw_3";"TotaalOpgehelderdeDiefstallen_4";"OpgehelderdeDiefstallenRelatief_5";"RegistratiesVanVerdachten_6"
"11582";"0";"03";"PV30  ";"2016JJ00";"     195";"       0";"     0.1";"      15";"     7.1";"      15"
"11583";"0";"03";"PV30  ";"2017JJ00";"     190";"       0";"     0.1";"      15";"     6.9";"      25"
"11584";"0";"03";"PV31  ";"2010JJ00";"     330";"       1";"     0.3";"      15";"     4.2";"      20"
"11585";"0";"03";"PV31  ";"2011JJ00";"     285";"       1";"     0.3";"      15";"     5.7";"      30"
"11586";"0";"03";"PV31  ";"2012JJ00";"     285";"       1";"     0.3";"      30";"    10.5";"      60"
"11587";"0";"03";"PV31  ";"2013JJ00";"     210";"       0";"     0.2";"      25";"    10.8";"      35"
"11588";"0";"03";"PV31  ";"2014JJ00";"     155";"       0";"     0.1";"      15";"     9.7";"      20"
"11589";"0";"03";"PV31  ";"2015JJ00";"     145";"       0";"     0.1";"      10";"     6.8";"      20"
"11590";"0";"03";"PV31  ";"2016JJ00";"     130";"       0";"     0.1";"      15";"    10.7";"      20"
"11591";"0";"03";"PV31  ";"2017JJ00";"     130";"       0";"     0.1";"       0";"     0.0";"       0"
"11592";"0";"03";"PV99  ";"2010JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"11593";"0";"03";"PV99  ";"2011JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"11594";"0";"03";"PV99  ";"2012JJ00";"       5";"       1";"";"       0";"     0.0";"       0"
"11595";"0";"03";"PV99  ";"2013JJ00";"       5";"       1";"";"       0";"     0.0";"       0"
"11596";"0";"03";"PV99  ";"2014JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"11597";"0";"03";"PV99  ";"2015JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"11598";"0";"03";"PV99  ";"2016JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"11599";"0";"03";"PV99  ";"2017JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"15312";"0";"04";"PV20  ";"2010JJ00";"     220";"       1";"     0.4";"      60";"    27.7";"      90"
"15313";"0";"04";"PV20  ";"2011JJ00";"     190";"       1";"     0.3";"      60";"    30.9";"      80"
"15314";"0";"04";"PV20  ";"2012JJ00";"     155";"       1";"     0.3";"      35";"    21.9";"      45"
"15315";"0";"04";"PV20  ";"2013JJ00";"     145";"       1";"     0.2";"      35";"    25.5";"      50"
"15316";"0";"04";"PV20  ";"2014JJ00";"     120";"       1";"     0.2";"      15";"    13.3";"      20"
"15317";"0";"04";"PV20  ";"2015JJ00";"     125";"       1";"     0.2";"      25";"    20.3";"      40"
"15318";"0";"04";"PV20  ";"2016JJ00";"     115";"       1";"     0.2";"      25";"    21.7";"      30"
"15319";"0";"04";"PV20  ";"2017JJ00";"      85";"       1";"       .";"      10";"    13.3";"      25"
"15320";"0";"04";"PV21  ";"2010JJ00";"     130";"       1";"     0.2";"      40";"    29.5";"      45"
"15321";"0";"04";"PV21  ";"2011JJ00";"     125";"       1";"     0.2";"      30";"    22.0";"      35"
"15322";"0";"04";"PV21  ";"2012JJ00";"     130";"       1";"     0.2";"      40";"    30.5";"      40"
"15323";"0";"04";"PV21  ";"2013JJ00";"     125";"       1";"     0.2";"      30";"    24.4";"      35"
"15324";"0";"04";"PV21  ";"2014JJ00";"     120";"       1";"     0.2";"      40";"    32.2";"      50"
"15325";"0";"04";"PV21  ";"2015JJ00";"     110";"       1";"     0.2";"      35";"    33.6";"      55"
"15326";"0";"04";"PV21  ";"2016JJ00";"     130";"       1";"     0.2";"      25";"    20.3";"      30"
"15327";"0";"04";"PV21  ";"2017JJ00";"      65";"       1";"       .";"      15";"    21.5";"      35"
"15328";"0";"04";"PV22  ";"2010JJ00";"     165";"       1";"     0.3";"      35";"    20.7";"      45"
"15329";"0";"04";"PV22  ";"2011JJ00";"     165";"       1";"     0.3";"      50";"    29.7";"      70"
"15330";"0";"04";"PV22  ";"2012JJ00";"     135";"       1";"     0.3";"      45";"    34.6";"      60"
"15331";"0";"04";"PV22  ";"2013JJ00";"     145";"       1";"     0.3";"      35";"    22.4";"      45"
"15332";"0";"04";"PV22  ";"2014JJ00";"     145";"       1";"     0.3";"      30";"    20.0";"      55"
"15333";"0";"04";"PV22  ";"2015JJ00";"     125";"       1";"     0.3";"      25";"    20.0";"      60"
"15334";"0";"04";"PV22  ";"2016JJ00";"      85";"       1";"       .";"      20";"    20.9";"      30"
"15335";"0";"04";"PV22  ";"2017JJ00";"      75";"       1";"       .";"      15";"    18.9";"      20"
"15336";"0";"04";"PV23  ";"2010JJ00";"     400";"       1";"     0.4";"      55";"    14.0";"      80"
