"ID";"Marges";"RegioS";"Perioden";"SAvondsLichtBrandenBijAfwezigheid_1";"FietsInBewaakteFietsenstalling_2";"WaardevolleSpullenMeenemenUitAuto_3";"WaardevolleSpullenThuisLaten_4";"SociaalPreventiefGedragSchaalscore_5";"ExtraVeiligheidsslotenOpBuitendeuren_6";"RolluikenVoorRamenEnOfDeuren_7";"Buitenverlichting_8";"Alarminstallatie_9";"PreventieInRondWoningSomscore_10"
"65";"1 ";"PV25   ";"2017JJ00";"43.7";"37.5";"70.4";"30.9";"1.8";"65.7";"23.6";"82";"12.3";"1.8"
"66";"1 ";"PV26   ";"2012JJ00";"40.1";"35.1";"74.5";"32.5";"1.8";"68.5";"11.8";"76.2";"13.1";"1.7"
"67";"1 ";"PV26   ";"2013JJ00";"42.7";"34.5";"74.2";"33";"1.8";"67.9";"11.9";"74.8";"12.7";"1.7"
"68";"1 ";"PV26   ";"2014JJ00";"41.9";"36.6";"74.6";"32.2";"1.9";"67.5";"12";"75.1";"13.6";"1.7"
"69";"1 ";"PV26   ";"2015JJ00";"43.3";"37.6";"76.2";"32.3";"1.9";"68.2";"11.8";"76.8";"12.8";"1.7"
"70";"1 ";"PV26   ";"2016JJ00";"40.3";"38.1";"73.3";"30.4";"1.8";"66.4";"12.2";"75";"11.9";"1.7"
"71";"1 ";"PV26   ";"2017JJ00";"40.8";"37.6";"73.5";"28.3";"1.8";"67.7";"12.6";"75.2";"11.7";"1.7"
"72";"1 ";"PV27   ";"2012JJ00";"35";"30.4";"68.6";"30.3";"1.6";"65.5";"10";"68.8";"12.3";"1.6"
"73";"1 ";"PV27   ";"2013JJ00";"35.7";"30.3";"66.9";"32.2";"1.7";"64.2";"9.8";"67.4";"12.2";"1.5"
"74";"1 ";"PV27   ";"2014JJ00";"36.4";"30.6";"67.9";"30.3";"1.7";"64.7";"9.8";"68.3";"12.7";"1.6"
"75";"1 ";"PV27   ";"2015JJ00";"37";"31.4";"66.6";"30.4";"1.7";"64.6";"11.3";"69";"12.6";"1.6"
"76";"1 ";"PV27   ";"2016JJ00";"37.8";"32.3";"66.5";"28.8";"1.7";"63.5";"10.8";"67.3";"12.8";"1.5"
"77";"1 ";"PV27   ";"2017JJ00";"36.9";"31.3";"65.1";"28";"1.6";"62.6";"10.5";"67.5";"12.2";"1.5"
"78";"1 ";"PV28   ";"2012JJ00";"39.3";"34";"70.3";"33.2";"1.8";"69.1";"12.9";"71.9";"13.5";"1.7"
"79";"1 ";"PV28   ";"2013JJ00";"39.6";"34.8";"69.2";"33.8";"1.8";"68.6";"12.8";"71";"13.1";"1.7"
"80";"1 ";"PV28   ";"2014JJ00";"40.8";"35";"69.4";"33.6";"1.8";"68.7";"13.1";"69.8";"13.5";"1.7"
"81";"1 ";"PV28   ";"2015JJ00";"42";"36.3";"69";"32.3";"1.8";"67.7";"13.1";"71.3";"13.4";"1.7"
"82";"1 ";"PV28   ";"2016JJ00";"41";"36.9";"68.2";"30.8";"1.8";"66.6";"13.8";"69.6";"13.2";"1.6"
"83";"1 ";"PV28   ";"2017JJ00";"41.7";"37.1";"67.9";"30";"1.8";"66.5";"13.4";"70.7";"13";"1.6"
"84";"1 ";"PV29   ";"2012JJ00";"36.2";"24.5";"65.9";"30.2";"1.6";"64.1";"35";"79.7";"9.8";"1.9"
"85";"1 ";"PV29   ";"2013JJ00";"37";"25.9";"67.5";"32.9";"1.6";"63.6";"35.1";"78.2";"10.4";"1.9"
"86";"1 ";"PV29   ";"2014JJ00";"38.2";"26";"64.4";"33";"1.6";"62.5";"33.2";"78";"11.1";"1.8"
"87";"1 ";"PV29   ";"2015JJ00";"40";"25";"64";"30.6";"1.6";"62.3";"38.5";"80.6";"11";"1.9"
"88";"1 ";"PV29   ";"2016JJ00";"44.4";"27.2";"65.9";"29.5";"1.7";"63";"35.8";"80.2";"9.7";"1.9"
"89";"1 ";"PV29   ";"2017JJ00";"40.7";"26.9";"61.8";"28.8";"1.6";"60.7";"34.5";"77.4";"10.9";"1.8"
"90";"1 ";"PV30   ";"2012JJ00";"47.6";"44.9";"73.9";"37.1";"2";"70";"27.5";"82.5";"13.9";"1.9"
